ENDTIME_us,TASK,PID,TYPE,BYTES,OFFSET_b,LATENCY_us,FILE
1383463562437,git,67521,R,117,146833818,1359,tmp_pack_YhEcHg
1383463562583,git,67521,R,72,146821117,1769,tmp_pack_YhEcHg
1383463588174,git,67521,R,102,149100418,3413,tmp_pack_YhEcHg
1383463588256,git,67521,R,89,149132865,3425,tmp_pack_YhEcHg
1383463590158,git,67521,R,109,149203391,1035,tmp_pack_YhEcHg
1383463590199,git,67521,R,99,149202038,1131,tmp_pack_YhEcHg
1383463613188,git,67521,R,94,151823692,1765,tmp_pack_YhEcHg
1383463650963,git,67521,R,94,152600560,35895,tmp_pack_YhEcHg
1383463651318,git,67521,R,91,152596406,36300,tmp_pack_YhEcHg
1383463678924,git,67521,R,128,155440289,2113,tmp_pack_YhEcHg
1383463697761,git,67521,R,149,155588946,18764,tmp_pack_YhEcHg
1383463697956,git,67521,R,107,155551385,19049,tmp_pack_YhEcHg
1383463709427,git,67521,R,105,156875051,1031,tmp_pack_YhEcHg
1383463710436,git,67521,R,123,156877832,1033,tmp_pack_YhEcHg
1383463716054,git,67521,R,135,157033135,5189,tmp_pack_YhEcHg
1383463744742,git,67521,R,125,158532933,13942,tmp_pack_YhEcHg
1383463744804,git,67521,R,138,158545293,13965,tmp_pack_YhEcHg
1383463779511,git,67521,R,123,161676234,1123,tmp_pack_YhEcHg
1383463783843,git,67521,R,53,162023339,1609,tmp_pack_YhEcHg
1383463785633,git,67521,R,98,162209120,1385,tmp_pack_YhEcHg
1383463791906,git,67521,R,96,162312111,6173,tmp_pack_YhEcHg
1383463795369,git,67521,R,101,162308384,9743,tmp_pack_YhEcHg
1383463805751,git,67521,R,64,163238323,1151,tmp_pack_YhEcHg
1383463838266,git,67521,R,110,165916648,13194,tmp_pack_YhEcHg
1383463838355,git,67521,R,100,165881605,13350,tmp_pack_YhEcHg
1383463843723,git,67521,R,89,166386590,1358,tmp_pack_YhEcHg
1383463846475,git,67521,R,91,166511483,1551,tmp_pack_YhEcHg
1383463849514,git,67521,R,103,166723641,1316,tmp_pack_YhEcHg
1383463858607,git,67521,R,138,167192199,1023,tmp_pack_YhEcHg
1383463872026,git,67521,R,106,168036940,1125,tmp_pack_YhEcHg
1383463900595,git,67521,R,139,168261806,26079,tmp_pack_YhEcHg
1383463900914,git,67521,R,141,168259605,26252,tmp_pack_YhEcHg
1383463909749,git,67521,R,136,168649638,1158,tmp_pack_YhEcHg
1383463911577,git,67521,R,109,168780697,1850,tmp_pack_YhEcHg
1383463913419,git,67521,R,136,169041848,1864,tmp_pack_YhEcHg
1383463915149,git,67521,R,138,169305320,1749,tmp_pack_YhEcHg
1383463919610,git,67521,R,126,169988292,1644,tmp_pack_YhEcHg
1383463947398,git,67521,R,114,170295469,27218,tmp_pack_YhEcHg
1383463947494,git,67521,R,112,170296663,27171,tmp_pack_YhEcHg
1383463958582,git,67521,R,316,171525355,1154,tmp_pack_YhEcHg
1383463961071,git,67521,R,41,3668914488,1205,tmp_pack_YhEcHg
1383463964219,git,67521,R,42,3668832246,1150,tmp_pack_YhEcHg
1383463972024,git,67521,R,42,3668894402,2366,tmp_pack_YhEcHg
1383464146755,git,67521,R,85,3265171415,1902,tmp_pack_YhEcHg
1383464152044,git,67521,R,29,180875483,1273,tmp_pack_YhEcHg
1383464168021,git,67521,R,78,3769278557,2819,tmp_pack_YhEcHg
1383464173378,git,67521,R,99,184477614,1684,tmp_pack_YhEcHg
1383464578748,git,67521,R,80,3679798151,6672,tmp_pack_YhEcHg
1383464876040,git,67521,R,5857,3665366992,3328,tmp_pack_YhEcHg
1383465076043,git,67521,R,25492,3103242712,3755,tmp_pack_YhEcHg
1383465520038,git,67521,R,251,274329432,1943,tmp_pack_YhEcHg
1383465890505,git,67521,R,251,324739903,1372,tmp_pack_YhEcHg
1383466066389,git,67521,R,245,342859534,2292,tmp_pack_YhEcHg
1383468038758,git,67521,R,1717,393162224,8416,tmp_pack_YhEcHg
1383468090411,git,67521,R,355,409027647,1270,tmp_pack_YhEcHg
1383468151132,git,67521,R,184,428382165,12178,tmp_pack_YhEcHg
1383468198011,git,67521,R,65536,441262894,11317,tmp_pack_YhEcHg
1383468206121,git,67521,R,65536,442189192,1315,tmp_pack_YhEcHg
1383468212031,git,67521,R,11561,442177625,2484,tmp_pack_YhEcHg
1383468328040,git,67521,R,139,515599330,2063,tmp_pack_YhEcHg
1383469309098,git,67521,R,36,567596362,9383,tmp_pack_YhEcHg
1383469452034,git,67521,R,28,3599756205,3314,tmp_pack_YhEcHg
1383472294515,git,67521,R,7685,3604358287,3437,tmp_pack_YhEcHg
1383472531078,git,67521,R,192,3354851223,1105,tmp_pack_YhEcHg
1383473340323,git,67521,R,33,1031600172,1288,tmp_pack_YhEcHg
1383473370132,git,67521,R,5682,1037245976,6411,tmp_pack_YhEcHg
1383474076030,git,67521,R,446,3341569153,1027,tmp_pack_YhEcHg
1383474149766,git,67521,R,317,1080266622,3551,tmp_pack_YhEcHg
1383474153036,git,67521,R,819,3609775169,1060,tmp_pack_YhEcHg
